,number,value,params_K,params_LAMBDA_2,params_freeze,params_gamma,params_imgSize,params_lr,params_modelname,params_nd1,params_nd2,params_nd3,params_step_size,state
0,0,1.7160165309906006,10,6,-1,8,224,0.00011314764891190146,resnet34,7,8,9,28,COMPLETE
1,1,5.1084513664245605,6,3,4,5,512,0.026449595992223355,densenet121,6,5,2,16,COMPLETE
2,2,4.257978916168213,6,16,4,8,224,3.5574141418012965e-06,resnet18,8,6,8,15,COMPLETE
3,3,1.6663711071014404,5,5,1,10,512,9.185919284112562e-06,resnet18,2,6,8,20,COMPLETE
4,4,5.1084513664245605,4,20,0,8,512,0.03210526235678909,resnet50,3,10,9,15,COMPLETE
5,5,1.9305555820465088,10,18,-1,6,224,0.0028895577353733825,densenet121,3,8,4,20,COMPLETE
6,6,5.048167705535889,9,20,4,6,512,1.15461113707047e-06,densenet121,3,10,10,15,COMPLETE
7,7,5.1084513664245605,10,4,-1,6,224,0.07072992175856103,resnet34,6,4,2,17,COMPLETE
8,8,5.1084513664245605,7,4,4,7,512,0.055325706452498825,resnet50,6,10,6,29,COMPLETE
9,9,1.7567967176437378,8,5,2,5,512,0.0001224206293576625,resnet18,9,6,2,24,COMPLETE
10,10,1.9429669380187988,3,13,2,10,512,9.142622789622758e-06,resnet18,2,2,6,22,COMPLETE
11,11,1.5984042882919312,4,9,1,10,224,6.006192462567975e-05,resnet34,8,8,8,30,COMPLETE
12,12,1.672281265258789,4,9,1,10,224,1.8993852383559385e-05,resnet34,10,8,7,26,COMPLETE
13,13,1.5688533782958984,5,0,1,9,224,0.0007356850598357766,resnet18,5,7,7,20,COMPLETE
14,14,1.6610519886016846,3,1,1,9,224,0.0014257762489390102,resnet34,4,8,5,30,COMPLETE
15,15,1.553486943244934,5,10,2,9,224,0.0009086881747982829,resnet18,5,7,7,19,COMPLETE
16,16,1.6557328701019287,5,12,3,9,224,0.000784463091675508,resnet18,5,3,4,19,COMPLETE
17,17,1.675236463546753,7,0,3,9,224,0.005792014345115156,resnet18,5,7,7,18,COMPLETE
18,18,1.574763536453247,5,7,0,9,224,0.0003518220011978629,resnet18,5,5,5,22,COMPLETE
19,19,1.6356383562088013,6,14,2,7,224,0.01060945277776669,resnet18,4,7,7,24,COMPLETE
20,20,1.6569149494171143,8,11,0,9,224,0.0004231404868357161,resnet50,7,9,10,21,COMPLETE
21,21,1.591312050819397,5,7,0,9,224,0.0001898219960692154,resnet18,5,5,5,23,COMPLETE
22,22,1.565307378768921,5,8,0,8,224,0.000604730140725795,resnet18,4,5,6,18,COMPLETE
23,23,1.646276593208313,4,10,3,8,224,0.0015878313684257019,resnet18,4,7,6,18,COMPLETE
24,24,1.6971039772033691,5,2,2,7,224,4.749703416767778e-05,resnet18,4,4,6,19,COMPLETE
25,25,1.5972222089767456,6,8,1,8,224,0.00068824804155821,resnet18,7,4,7,17,COMPLETE
26,26,2.0789008140563965,7,15,0,9,224,0.004926862975658626,resnet18,5,7,4,20,COMPLETE
27,27,1.552304983139038,3,11,2,8,224,0.0015982621686055204,resnet18,3,5,8,17,COMPLETE
28,28,1.6433215141296387,3,11,3,7,224,0.013712544996179521,resnet50,3,5,9,17,COMPLETE
