,number,value,params_freeze,params_gamma,params_imgSize,params_lr,params_modelname,params_nd1,params_nd2,params_nd3,params_step_size,state
0,0,2.092494010925293,4,5,224,0.006875116310288597,densenet121,9,6,7,24,COMPLETE
1,1,13.447104454040527,4,8,224,3.3327071948198673e-06,resnet34,7,9,2,27,COMPLETE
2,2,5.112588882446289,1,8,512,0.020092579670291193,resnet50,7,4,2,27,COMPLETE
3,3,2.0469858646392822,3,7,512,9.195711093584041e-06,densenet121,4,2,10,19,COMPLETE
4,4,11.973108291625977,3,6,224,1.7298960752692157e-06,resnet18,4,3,10,18,COMPLETE
5,5,2.082446813583374,-1,9,224,0.025968112020783182,densenet121,10,7,9,30,COMPLETE
6,6,1.4660165309906006,1,6,512,0.00010148574536523249,resnet18,8,4,8,19,COMPLETE
7,7,5.1084513664245605,0,5,512,0.02873829670448537,densenet121,4,3,10,28,COMPLETE
8,8,1.6776005029678345,0,6,224,0.00019287621650416727,resnet18,3,3,4,27,COMPLETE
9,9,5.1084513664245605,0,7,512,0.038525409067471705,densenet121,4,8,10,20,COMPLETE
10,10,1.6669621467590332,2,10,512,6.823287513533805e-05,resnet18,8,5,7,15,COMPLETE
11,11,1.6066784858703613,2,10,512,0.0001154609998438909,resnet18,8,5,7,15,COMPLETE
12,12,1.6196808815002441,2,10,512,0.001095558179346345,resnet18,6,5,6,16,COMPLETE
13,13,1.722517728805542,1,9,512,2.4830038364090314e-05,resnet18,10,6,8,21,COMPLETE
14,14,1.6344562768936157,2,6,512,0.0017279045404113378,resnet34,8,10,5,17,COMPLETE
15,15,1.7757092714309692,1,9,512,0.0002727561870821772,resnet50,6,5,8,23,COMPLETE
16,16,1.9027777910232544,3,7,512,4.718738158352028e-05,resnet18,8,4,5,15,COMPLETE
17,17,1.9884752035140991,-1,8,512,0.0012530866662273205,resnet18,9,7,8,21,COMPLETE
18,18,7.156914710998535,1,6,512,1.4378036390736102e-05,resnet18,7,2,6,18,COMPLETE
