,number,value,params_freeze,params_gamma,params_imgSize,params_lr,params_modelname,params_nd1,params_nd2,params_nd3,params_step_size,state
0,0,2.3118624687194824,4,5,224,0.006875116310288597,densenet121,9,6,7,24,COMPLETE
1,1,5.123971939086914,4,8,224,3.3327071948198673e-06,resnet34,7,9,2,27,COMPLETE
2,2,2.573352813720703,1,8,512,0.020092579670291193,resnet50,7,4,2,27,COMPLETE
3,3,1.9954454898834229,3,7,512,9.195711093584041e-06,densenet121,4,2,10,19,COMPLETE
4,4,11.626213073730469,3,6,224,1.7298960752692157e-06,resnet18,4,3,10,18,COMPLETE
5,5,2.372154951095581,-1,9,224,0.025968112020783182,densenet121,10,7,9,30,COMPLETE
6,6,1.9149569272994995,1,6,512,0.00010148574536523249,resnet18,8,4,8,19,COMPLETE
7,7,5.108849048614502,0,5,512,0.02873829670448537,densenet121,4,3,10,28,COMPLETE
8,8,1.643343210220337,0,6,224,0.00019287621650416727,resnet18,3,3,4,27,COMPLETE
9,9,5.10988712310791,0,7,512,0.038525409067471705,densenet121,4,8,10,20,COMPLETE
10,10,2.0015695095062256,-1,10,224,0.0007387831329754048,resnet18,2,5,4,23,COMPLETE
11,11,1.8731650114059448,1,6,512,4.5257346146329804e-05,resnet18,8,5,6,16,COMPLETE
12,12,1.7794122695922852,2,6,224,6.24875493001676e-05,resnet18,2,5,5,16,COMPLETE
13,13,1.7179076671600342,2,6,224,0.0013376093390069601,resnet18,2,2,4,15,COMPLETE
14,14,1.6347928047180176,2,5,224,0.001184285778133567,resnet34,2,2,4,25,COMPLETE
15,15,1.8453643321990967,0,5,224,0.002811694047421397,resnet34,5,2,4,25,COMPLETE
16,16,1.7307279109954834,2,5,224,0.00035516703680471513,resnet34,3,10,3,22,COMPLETE
17,17,1.6725592613220215,3,7,224,0.00012381532048169602,resnet50,6,3,6,30,COMPLETE
18,18,1.8593921661376953,0,5,224,1.750910785004066e-05,resnet34,3,4,5,25,COMPLETE
19,19,1.9197826385498047,-1,7,224,0.003494143382260272,resnet34,3,6,3,28,COMPLETE
20,20,1.6385539770126343,1,6,224,0.0003518220011978629,resnet50,5,3,5,22,COMPLETE
