,number,value,params_freeze,params_gamma,params_hd1,params_hd2,params_imgSize,params_lr,params_modelname,params_nd1,params_nd2,params_nd3,params_step_size,state
0,0,2.3212273120880127,4,5,5,6,224,0.00011314764891190146,densenet121,9,6,7,24,COMPLETE
1,1,1.9619486331939697,2,10,3,2,512,0.026449595992223355,resnet34,2,2,6,24,COMPLETE
2,2,1.7887208461761475,0,10,4,5,224,3.5574141418012965e-06,resnet18,2,7,8,15,COMPLETE
3,3,1.6764328479766846,0,7,4,5,512,9.185919284112562e-06,resnet50,4,10,2,17,COMPLETE
4,4,1.948158621788025,2,6,6,6,512,0.03210526235678909,resnet18,2,7,3,30,COMPLETE
5,5,1.754041075706482,2,5,5,3,224,0.0028895577353733825,densenet121,5,4,3,21,COMPLETE
6,6,12.944704055786133,1,10,6,6,512,1.15461113707047e-06,resnet18,2,4,3,17,COMPLETE
7,7,1.962992787361145,3,5,3,2,224,0.07072992175856103,densenet121,3,4,6,18,COMPLETE
8,8,2.2803151607513428,0,10,6,4,512,0.055325706452498825,densenet121,10,5,6,25,COMPLETE
9,9,1.7361551523208618,-1,8,4,2,512,0.0001224206293576625,densenet121,7,2,9,22,COMPLETE
10,10,2.075507640838623,-1,8,2,4,512,9.142622789622758e-06,resnet50,5,10,2,19,COMPLETE
11,11,1.760998249053955,-1,8,4,5,512,6.192714655406983e-05,resnet50,7,10,10,27,COMPLETE
12,12,1.8568189144134521,0,7,3,3,512,0.000946654620173855,resnet50,7,2,10,21,COMPLETE
13,13,1.8577063083648682,-1,7,5,5,512,2.470573431039871e-05,resnet34,4,8,8,15,COMPLETE
14,14,1.9508920907974243,1,9,4,3,512,0.00030655677119219646,resnet50,7,9,4,21,COMPLETE
15,15,1.8083020448684692,0,7,2,4,512,1.1318898963802823e-05,densenet121,6,3,5,27,COMPLETE
16,16,1.962107539176941,-1,8,3,2,512,0.002887120870426344,resnet50,8,6,9,19,COMPLETE
17,17,1.682595133781433,1,6,5,5,512,5.9924052286185585e-05,resnet34,4,8,8,17,COMPLETE
18,18,12.193516731262207,1,6,5,5,224,1.0852409129876148e-06,resnet34,4,9,5,17,COMPLETE
19,19,1.751744031906128,3,6,5,5,512,2.97978806029506e-05,resnet34,4,8,7,16,COMPLETE
20,20,8.747673988342285,1,6,4,4,512,6.380206547326036e-06,resnet34,5,9,2,19,COMPLETE
21,21,1.6310135126113892,0,9,4,5,512,0.0001898219960692154,resnet50,6,8,9,22,COMPLETE
22,22,1.8283278942108154,0,9,4,5,512,0.0004543867313780657,resnet50,6,8,8,17,COMPLETE
23,23,1.5459527969360352,0,9,5,6,512,3.547065939357281e-05,resnet50,3,10,9,20,COMPLETE
24,24,1.7605164051055908,0,9,4,6,512,2.7103270915732865e-06,resnet50,3,10,9,20,COMPLETE
25,25,1.6108053922653198,0,9,3,6,512,1.970479840712642e-05,resnet50,3,9,10,23,COMPLETE
26,26,1.546494483947754,0,9,3,6,224,0.0002619979401010194,resnet50,3,9,10,23,COMPLETE
27,27,1.6647374629974365,1,9,2,6,224,0.00140801540385032,resnet50,3,9,10,24,COMPLETE
28,28,2.171945095062256,-1,9,3,6,224,2.7272357473946778e-05,resnet50,3,7,10,26,COMPLETE
29,29,2.4715182781219482,4,10,3,6,224,5.998349103119391e-05,resnet50,3,9,7,23,COMPLETE
30,30,2.999086856842041,0,8,2,6,224,0.008771762814298062,resnet50,5,10,10,23,COMPLETE
31,31,1.6187317371368408,0,9,3,6,224,0.00021484924871056972,resnet50,9,9,9,22,COMPLETE
32,32,1.65791654586792,0,9,3,6,224,0.0004318946686453006,resnet50,9,9,9,25,COMPLETE
33,33,1.732401967048645,1,10,3,6,224,0.00011877399779612017,resnet50,10,7,9,23,COMPLETE
34,34,1.623529076576233,0,9,2,6,224,0.00022543326793672354,resnet18,2,10,8,24,COMPLETE
35,35,1.8908257484436035,-1,10,3,6,224,0.0007848328205515273,resnet50,9,9,10,21,COMPLETE
36,36,1.6363732814788818,2,8,3,6,224,1.7628205152990256e-05,resnet50,8,10,9,20,COMPLETE
37,37,1.7974799871444702,0,9,3,6,224,3.650529630372319e-06,resnet18,2,7,10,29,COMPLETE
38,38,1.6682809591293335,2,10,6,5,224,4.406544843660686e-05,resnet50,2,8,8,22,COMPLETE
39,39,1.6055223941802979,1,9,2,6,224,0.0001194465885770099,resnet50,3,5,7,25,COMPLETE
40,40,1.578197956085205,1,8,2,6,224,0.00012158522822370597,resnet18,3,5,7,25,COMPLETE
41,41,1.5521541833877563,1,8,2,6,224,9.512241452146287e-05,resnet18,3,5,7,25,COMPLETE
42,42,1.551440715789795,1,8,2,6,224,0.00010483640862589198,resnet18,4,5,7,25,COMPLETE
43,43,1.6035501956939697,2,8,2,6,224,8.627354755642921e-05,resnet18,4,5,7,26,COMPLETE
44,44,1.5364593267440796,1,8,2,5,224,0.0005932939438968533,resnet18,2,5,6,28,COMPLETE
45,45,1.7810462713241577,1,7,2,5,224,0.0020720061589930678,resnet18,2,4,5,29,COMPLETE
46,46,1.7171375751495361,2,8,2,5,224,0.0008180357429377728,resnet18,2,6,6,28,COMPLETE
47,47,1.585938811302185,1,7,2,5,224,0.007035615596088423,resnet18,4,4,6,27,COMPLETE
48,48,1.6876672506332397,2,8,2,6,224,0.000509270340984517,resnet18,2,5,4,28,COMPLETE
49,49,1.695507526397705,3,7,6,5,224,3.736824009286719e-05,resnet18,3,6,5,30,COMPLETE
50,50,1.5766663551330566,1,8,2,4,224,0.0001919768114776741,resnet18,5,3,6,26,COMPLETE
51,51,1.5763589143753052,1,8,2,4,224,0.00019152381495304418,resnet18,5,3,6,26,COMPLETE
52,52,1.624124526977539,1,8,2,4,224,0.0003502045823339402,resnet18,4,3,6,25,COMPLETE
53,53,1.6210987567901611,1,8,2,4,224,6.904295104980337e-05,resnet18,4,6,6,24,COMPLETE
54,54,1.779168725013733,2,7,2,4,224,0.000601090923413765,densenet121,5,4,7,27,COMPLETE
55,55,5.108438968658447,1,8,2,3,224,0.0012606454868718793,resnet18,3,2,4,28,COMPLETE
56,56,1.6044559478759766,0,8,2,3,224,0.00027162359981613456,resnet18,4,3,5,26,COMPLETE
57,57,1.5770962238311768,1,7,5,5,224,9.230679738878363e-05,resnet18,2,5,7,29,COMPLETE
58,58,1.684584617614746,0,5,2,5,224,0.00015455837642274818,densenet121,5,4,8,24,COMPLETE
59,59,2.430403232574463,1,9,3,4,512,1.2864983431859753e-05,resnet18,3,6,6,20,COMPLETE
60,60,1.8967045545578003,-1,8,5,6,224,4.443680948505009e-05,resnet18,4,4,8,26,COMPLETE
61,61,1.6290051937103271,1,8,2,4,224,0.00017987214910408962,resnet18,5,3,6,26,COMPLETE
62,62,1.5898808240890503,1,8,2,4,224,0.00031444789550479947,resnet18,6,3,6,27,COMPLETE
63,63,1.665860652923584,1,8,2,4,224,8.529952567872831e-05,resnet18,5,2,5,24,COMPLETE
64,64,1.7426435947418213,2,7,2,4,224,5.1763871316435634e-05,resnet34,4,3,7,25,COMPLETE
65,65,1.5889654159545898,0,9,2,6,512,0.00016008443661052818,resnet18,5,4,6,27,COMPLETE
66,66,1.629287600517273,1,8,3,3,224,0.000625836574827085,resnet18,3,5,5,26,COMPLETE
67,67,1.5299276113510132,0,9,2,5,512,0.0003469966003216734,densenet121,6,6,7,28,COMPLETE
68,68,1.5332759618759155,0,9,4,5,512,0.00033525634349992905,densenet121,6,7,7,28,COMPLETE
69,69,1.719373106956482,0,10,4,5,512,0.0012638561682524487,densenet121,7,7,8,28,COMPLETE
70,70,1.9112783670425415,-1,9,4,5,512,0.000380644688622405,densenet121,6,7,7,29,COMPLETE
71,71,1.4795873165130615,0,9,4,6,512,0.0002716810186074001,densenet121,6,5,7,30,COMPLETE
72,72,1.6838865280151367,0,9,4,6,512,0.00024292869344209726,densenet121,6,5,7,30,COMPLETE
73,73,1.9234529733657837,0,9,4,6,512,0.0009027296610850966,densenet121,7,6,7,30,COMPLETE
74,74,1.6791712045669556,0,9,5,6,512,0.00046633798057406405,densenet121,6,5,8,28,COMPLETE
75,75,1.699792504310608,0,10,4,6,512,0.002117347203153545,densenet121,7,5,7,29,COMPLETE
76,76,1.9318511486053467,-1,9,4,6,512,0.004974185518808863,densenet121,6,6,8,29,COMPLETE
77,77,1.6313819885253906,0,9,5,6,512,3.0145092039445872e-05,densenet121,8,10,9,18,COMPLETE
78,78,1.641265630722046,0,9,5,5,512,0.00029354026031486614,densenet121,2,6,7,30,COMPLETE
79,79,1.8877156972885132,-1,9,3,6,512,6.839569229787387e-05,densenet121,3,5,10,21,COMPLETE
80,80,1.6528452634811401,0,10,6,6,512,0.0001448974438823686,resnet34,3,6,7,22,COMPLETE
81,81,1.5580087900161743,0,9,3,5,512,9.913884962378231e-05,densenet121,6,8,6,27,COMPLETE
82,82,1.5757092237472534,0,9,3,5,512,0.0001029354608303973,densenet121,6,8,6,28,COMPLETE
83,83,1.5917651653289795,0,9,4,5,512,0.0006389138402539059,densenet121,6,7,7,27,COMPLETE
84,84,1.6688930988311768,0,9,4,5,512,1.796937441395038e-05,densenet121,7,8,8,28,COMPLETE
85,85,1.6084781885147095,0,9,3,6,512,3.6172171268999287e-05,densenet121,2,9,9,23,COMPLETE
86,86,2.101001739501953,-1,10,3,5,512,0.0003831752685509546,resnet50,6,8,7,27,COMPLETE
87,87,1.5590498447418213,0,9,4,6,512,0.000245831969023523,densenet121,8,7,6,29,COMPLETE
88,88,1.5102362632751465,0,9,2,5,512,7.469803646086407e-05,resnet50,7,9,6,28,COMPLETE
89,89,1.5442088842391968,0,9,2,2,512,7.213264055886877e-05,resnet50,3,10,10,23,COMPLETE
90,90,2.270082473754883,4,10,2,2,512,6.7902344895236e-05,resnet50,7,10,10,23,COMPLETE
91,91,1.4313859939575195,0,9,2,2,512,0.0001476334094862175,resnet50,3,10,10,22,COMPLETE
92,92,1.4790581464767456,0,9,2,3,512,0.00014177392965514663,resnet50,3,10,10,20,COMPLETE
93,93,1.4850242137908936,0,9,2,2,512,0.00014709835479297884,resnet50,3,10,10,19,COMPLETE
94,94,1.6018115282058716,0,9,2,2,512,0.00014345173539470813,resnet50,3,10,10,18,COMPLETE
95,95,1.5978586673736572,0,9,2,2,512,5.3959264637523046e-05,resnet50,3,10,10,19,COMPLETE
96,96,1.5115617513656616,0,9,2,2,512,2.2562844917996186e-05,resnet50,2,10,10,20,COMPLETE
97,97,1.5286259651184082,0,9,2,2,512,0.00021143777112088053,resnet50,2,10,10,20,COMPLETE
98,98,2.0069468021392822,-1,9,2,2,512,7.421743944098744e-06,resnet50,2,10,10,20,COMPLETE
99,99,1.6957883834838867,0,9,2,2,512,0.0005071494625317729,resnet50,2,10,10,19,COMPLETE
